Repo_name,Organization Name,Language Name,Totally stars,Forks,Since Stars,Time Range,Date Time
genai-toolbox,googleapis,Go,3682,316,962,today,2025-07-09
rustfs,rustfs,Rust,3616,180,644,today,2025-07-09
prompt-eng-interactive-tutorial,anthropics,Jupyter Notebook,16092,1477,452,today,2025-07-09
WebAgent,Alibaba-NLP,Python,2700,186,770,today,2025-07-09
res-downloader,putyy,Go,8131,986,193,today,2025-07-09
agents,ed-donner,Jupyter Notebook,1002,780,52,today,2025-07-09
proxypin,wanghongenpin,Dart,9335,810,92,today,2025-07-09
ai-agents-for-beginners,microsoft,Jupyter Notebook,29538,8362,160,today,2025-07-09
awesome-mcp-clients,punkpeye,Unknown,4237,300,82,today,2025-07-09
strapi,strapi,TypeScript,67391,8697,21,today,2025-07-09
MoGe,microsoft,Python,1206,72,16,today,2025-07-09
MNN,alibaba,C++,12339,1984,19,today,2025-07-09
llm_engineering,ed-donner,Jupyter Notebook,2801,2274,154,today,2025-07-09
fzf,junegunn,Go,71702,2541,104,today,2025-07-09
MediaCrawler,NanmiCoder,Python,28804,7219,4447,this week,2025-07-09
Folo,RSSNext,TypeScript,28210,1247,884,this week,2025-07-09
scira,zaidmukaddam,TypeScript,9624,1175,990,this week,2025-07-09
genai-toolbox,googleapis,Go,3682,316,1056,this week,2025-07-09
sim,simstudioai,TypeScript,4648,696,455,this week,2025-07-09
sniffnet,GyulyVGC,Rust,27496,894,1805,this week,2025-07-09
ladybird,LadybirdBrowser,C++,45062,1919,1007,this week,2025-07-09
build-your-own-x,codecrafters-io,Markdown,397829,37131,4170,this week,2025-07-09
generative-ai-for-beginners,microsoft,Jupyter Notebook,91575,46781,4028,this week,2025-07-09
pocketbase,pocketbase,Go,48828,2460,766,this week,2025-07-09
kilocode,Kilo-Org,TypeScript,4001,321,2271,this week,2025-07-09
ML-For-Beginners,microsoft,HTML,74165,16324,654,this week,2025-07-09
openpilot,commaai,Python,55090,9915,700,this week,2025-07-09
infisical,Infisical,TypeScript,18727,1248,503,this week,2025-07-09
directus,directus,TypeScript,31529,4290,487,this week,2025-07-09
awesome-llm-apps,Shubhamsaboo,Python,49222,5686,15636,this month,2025-07-09
data-engineer-handbook,DataExpert-io,Jupyter Notebook,35051,6739,6111,this month,2025-07-09
jan,menloresearch,TypeScript,34463,2011,5085,this month,2025-07-09
awesome,sindresorhus,Unknown,380421,30419,16352,this month,2025-07-09
twenty,twentyhq,TypeScript,33569,3727,5414,this month,2025-07-09
MediaCrawler,NanmiCoder,Python,28804,7219,5441,this month,2025-07-09
happy-llm,datawhalechina,Unknown,9880,712,7263,this month,2025-07-09
claude-code,anthropics,PowerShell,18315,1033,6357,this month,2025-07-09
anthropic-cookbook,anthropics,Jupyter Notebook,17876,1851,4850,this month,2025-07-09
Telegram,DrKLO,Java,27058,8741,881,this month,2025-07-09
prompt-optimizer,linshenkx,TypeScript,9215,1154,3647,this month,2025-07-09
kilocode,Kilo-Org,TypeScript,4001,321,3055,this month,2025-07-09
genai-toolbox,googleapis,Go,3682,316,1466,this month,2025-07-09
storm,stanford-oval,Python,26444,2378,1942,this month,2025-07-09
youtube-transcript-api,jdepoix,Python,5691,583,1704,this month,2025-07-09
Web-Dev-For-Beginners,microsoft,JavaScript,90328,13652,2009,this month,2025-07-09
WebAgent,Alibaba-NLP,Python,2700,186,770,today,2025-07-09
MoGe,microsoft,Python,1206,72,16,today,2025-07-09
30-Days-Of-Python,Asabeneh,Python,47433,9058,48,today,2025-07-09
MoneyPrinterV2,FujiwaraChoki,Python,12119,1143,350,today,2025-07-09
checkov,bridgecrewio,Python,7678,1210,6,today,2025-07-09
verifiers,willccbb,Python,1481,182,15,today,2025-07-09
WeClone,xming521,Python,14771,1153,32,today,2025-07-09
openpilot,commaai,Python,55090,9915,232,today,2025-07-09
mcp,awslabs,Python,4500,548,51,today,2025-07-09
logicanalyzer,gusmanb,Python,4039,420,169,today,2025-07-09
litellm,BerriAI,Python,25126,3426,56,today,2025-07-09
hummingbot,hummingbot,Python,13136,3659,10,today,2025-07-09
yolov5,ultralytics,Python,54525,17035,18,today,2025-07-09
Scrapling,D4Vinci,Python,6209,343,235,today,2025-07-09
ray,ray-project,Python,37904,6575,22,today,2025-07-09
ai-agents-masterclass,coleam00,Python,2398,1104,67,today,2025-07-09
Ghost-Downloader-3,XiaoYouChR,Python,3191,154,73,today,2025-07-09
awesome-llm-apps,Shubhamsaboo,Python,49222,5686,331,today,2025-07-09
MediaCrawler,NanmiCoder,Python,28804,7219,4447,this week,2025-07-09
openpilot,commaai,Python,55090,9915,700,this week,2025-07-09
ai-toolkit,ostris,Python,5108,606,121,this week,2025-07-09
PayloadsAllTheThings,swisskyrepo,Python,68165,15643,1194,this week,2025-07-09
Genesis,Genesis-Embodied-AI,Python,25773,2334,398,this week,2025-07-09
WebAgent,Alibaba-NLP,Python,2700,186,777,this week,2025-07-09
MoneyPrinterV2,FujiwaraChoki,Python,12119,1143,222,this week,2025-07-09
Index-anisora,bilibili,Python,1727,82,289,this week,2025-07-09
ERNIE,PaddlePaddle,Python,7289,1384,344,this week,2025-07-09
30-Days-Of-Python,Asabeneh,Python,47433,9058,255,this week,2025-07-09
devops-exercises,bregman-arie,Python,77448,17353,489,this week,2025-07-09
gemini-balance,snailyp,Python,2928,502,756,this week,2025-07-09
nunchaku,mit-han-lab,Python,2326,122,134,this week,2025-07-09
InkyPi,fatihak,Python,1799,184,110,this week,2025-07-09
awesome-llm-apps,Shubhamsaboo,Python,49222,5686,15636,this month,2025-07-09
MediaCrawler,NanmiCoder,Python,28804,7219,5441,this month,2025-07-09
storm,stanford-oval,Python,26444,2378,1942,this month,2025-07-09
youtube-transcript-api,jdepoix,Python,5691,583,1704,this month,2025-07-09
MinerU,opendatalab,Python,38592,3168,3908,this month,2025-07-09
mcp-for-beginners,microsoft,Python,4834,1238,2888,this month,2025-07-09
gemini-balance,snailyp,Python,2928,502,1136,this month,2025-07-09
ottomator-agents,coleam00,Python,3434,1230,1389,this month,2025-07-09
AutoAgent,HKUDS,Python,5484,752,837,this month,2025-07-09
cai,aliasrobotics,Python,1619,208,566,this month,2025-07-09
lerobot,huggingface,Python,15651,2116,1462,this month,2025-07-09
boltz,jwohlwend,Python,3044,485,985,this month,2025-07-09
vggt,facebookresearch,Python,9582,918,2250,this month,2025-07-09
LMCache,LMCache,Python,2601,308,1239,this month,2025-07-09
deepeval,confident-ai,Python,9072,791,1932,this month,2025-07-09
dspy,stanfordnlp,Python,26218,2018,1175,this month,2025-07-09
flux,black-forest-labs,Python,23348,1679,1122,this month,2025-07-09
manim,ManimCommunity,Python,33401,2343,1281,this month,2025-07-09
manim,3b1b,Python,78767,6780,904,this month,2025-07-09
register,is-a-dev,JavaScript,6664,12630,3,today,2025-07-09
Sigma-Web-Dev-Course,CodeWithHarry,JavaScript,9233,2686,21,today,2025-07-09
Fabric,danielmiessler,JavaScript,32477,3351,109,today,2025-07-09
easy-dataset,ConardLi,JavaScript,9293,906,90,today,2025-07-09
react,facebook,JavaScript,237106,48873,39,today,2025-07-09
nuclei-templates,projectdiscovery,JavaScript,10429,2912,13,today,2025-07-09
Font-Awesome,FortAwesome,JavaScript,75422,12214,8,today,2025-07-09
svelte,sveltejs,JavaScript,83353,4557,22,today,2025-07-09
bruno,usebruno,JavaScript,35450,1734,41,today,2025-07-09
Chart.js,chartjs,JavaScript,66196,11952,16,today,2025-07-09
axios,axios,JavaScript,107188,11163,11,today,2025-07-09
gitlab-mcp,zereight,JavaScript,311,96,8,today,2025-07-09
one-api,songquanpeng,JavaScript,26064,5283,31,today,2025-07-09
overleaf,overleaf,JavaScript,16178,1662,125,today,2025-07-09
Mobile-Security-Framework-MobSF,MobSF,JavaScript,18972,3405,11,today,2025-07-09
drawdb,drawdb-io,JavaScript,31524,2247,734,this week,2025-07-09
context7,upstash,JavaScript,18953,960,2200,this week,2025-07-09
nginx-proxy-manager,NginxProxyManager,JavaScript,27394,3153,536,this week,2025-07-09
three.js,mrdoob,JavaScript,107513,35879,582,this week,2025-07-09
swagger-ui,swagger-api,JavaScript,27867,9149,328,this week,2025-07-09
Fabric,danielmiessler,JavaScript,32477,3351,482,this week,2025-07-09
javascript-algorithms,trekhleb,JavaScript,192064,30743,446,this week,2025-07-09
awesome-mac,jaywcjlove,JavaScript,84706,6592,393,this week,2025-07-09
Sigma-Web-Dev-Course,CodeWithHarry,JavaScript,9233,2686,249,this week,2025-07-09
anything-llm,Mintplex-Labs,JavaScript,46264,4643,320,this week,2025-07-09
label-studio,HumanSignal,JavaScript,23165,2876,365,this week,2025-07-09
EasySpider,NaiboWang,JavaScript,40274,4926,949,this week,2025-07-09
Web-Dev-For-Beginners,microsoft,JavaScript,90328,13652,2009,this month,2025-07-09
nginx-proxy-manager,NginxProxyManager,JavaScript,27394,3153,883,this month,2025-07-09
context7,upstash,JavaScript,18953,960,7233,this month,2025-07-09
3x-ui,MHSanaei,JavaScript,21239,4606,1236,this month,2025-07-09
nuclei-templates,projectdiscovery,JavaScript,10429,2912,193,this month,2025-07-09
Fabric,danielmiessler,JavaScript,32477,3351,1046,this month,2025-07-09
automatisch,automatisch,JavaScript,12535,917,3687,this month,2025-07-09
webvm,leaningtech,JavaScript,14456,2605,1378,this month,2025-07-09
Sigma-Web-Dev-Course,CodeWithHarry,JavaScript,9233,2686,643,this month,2025-07-09
label-studio,HumanSignal,JavaScript,23165,2876,757,this month,2025-07-09
javascript,airbnb,JavaScript,147049,26772,359,this month,2025-07-09
brave-browser,brave,JavaScript,19674,2655,314,this month,2025-07-09
three.js,mrdoob,JavaScript,107513,35879,1041,this month,2025-07-09
whatsapp-web.js,pedroslopez,JavaScript,17297,4204,339,this month,2025-07-09
javascript-algorithms,trekhleb,JavaScript,192064,30743,777,this month,2025-07-09
marktext,marktext,JavaScript,50340,3686,427,this month,2025-07-09
gitlab-mcp,zereight,JavaScript,311,96,140,this month,2025-07-09
meshery,meshery,JavaScript,7488,2450,289,this month,2025-07-09
spring-boot,spring-projects,Java,77706,41277,16,today,2025-07-09
openapi-generator,OpenAPITools,Java,24189,7026,8,today,2025-07-09
seatunnel,apache,Java,8631,2017,5,today,2025-07-09
hadoop,apache,Java,15162,9067,7,today,2025-07-09
rocketmq,apache,Java,21879,11897,2,today,2025-07-09
media,androidx,Java,2286,560,1,today,2025-07-09
thingsboard,thingsboard,Java,19300,5670,21,today,2025-07-09
xxl-job,xuxueli,Java,28987,11242,7,today,2025-07-09
Chat2DB,CodePhiliaX,Java,23557,2559,51,today,2025-07-09
mybatis-3,mybatis,Java,20135,12941,1,today,2025-07-09
spring-ai,spring-projects,Java,6037,1672,16,today,2025-07-09
kafka,apache,Java,30428,14493,9,today,2025-07-09
bazel,bazelbuild,Java,24284,4245,7,today,2025-07-09
gravitino,apache,Java,1685,528,2,today,2025-07-09
Shizuku-API,RikkaApps,Java,1448,426,4,today,2025-07-09
Stirling-PDF,Stirling-Tools,Java,63169,5361,54,today,2025-07-09
trino,trinodb,Java,11550,3255,7,today,2025-07-09
DependencyCheck,dependency-check,Java,7044,1355,1,today,2025-07-09
questdb,questdb,Java,15702,1436,351,this week,2025-07-09
fluss,apache,Java,1295,344,45,this week,2025-07-09
maven,apache,Java,4676,2751,22,this week,2025-07-09
Grasscutter,Grasscutters,Java,16566,4439,22,this week,2025-07-09
WxJava,binarywang,Java,31503,8915,93,this week,2025-07-09
java-genai,googleapis,Java,140,36,13,this week,2025-07-09
traccar,traccar,Java,6007,2830,39,this week,2025-07-09
Telegram-X,TGX-Android,Java,4341,713,47,this week,2025-07-09
ruoyi-vue-pro,YunaiV,Java,32137,6901,235,this week,2025-07-09
tomcat,apache,Java,7870,5203,10,this week,2025-07-09
spider-flow,ssssssss-team,Java,10511,2019,166,this week,2025-07-09
supersonic,tencentmusic,Java,3945,777,38,this week,2025-07-09
awesome-leetcode-resources,ashishps1,Java,11626,2650,210,this week,2025-07-09
DSA-Bootcamp-Java,kunal-kushwaha,Java,19591,12177,109,this week,2025-07-09
jdk,openjdk,Java,21313,6078,55,this week,2025-07-09
JavaGuide,Snailclimb,Java,150711,45910,178,this week,2025-07-09
android,nextcloud,Java,4698,1838,21,this week,2025-07-09
Ehviewer_CN_SXJ,xiaojieonly,Java,18189,484,163,this week,2025-07-09
openapi-generator,OpenAPITools,Java,24189,7026,73,this week,2025-07-09
kafka,apache,Java,30428,14493,60,this week,2025-07-09
keycloak,keycloak,Java,28144,7430,137,this week,2025-07-09
Telegram,DrKLO,Java,27058,8741,881,this month,2025-07-09
Java,TheAlgorithms,Java,62325,20056,582,this month,2025-07-09
termux-app,termux,Java,42998,4725,968,this month,2025-07-09
DSA-Bootcamp-Java,kunal-kushwaha,Java,19591,12177,407,this month,2025-07-09
kestra,kestra-io,Java,19646,1628,1333,this month,2025-07-09
questdb,questdb,Java,15702,1436,418,this month,2025-07-09
hello-algo,krahets,Java,114199,14143,1172,this month,2025-07-09
WxJava,binarywang,Java,31503,8915,293,this month,2025-07-09
revanced-patches,ReVanced,Java,3825,463,236,this month,2025-07-09
Geyser,GeyserMC,Java,5138,741,109,this month,2025-07-09
cloudstack,apache,Java,2445,1200,56,this month,2025-07-09
SmartTube,yuliskov,Java,23535,1256,571,this month,2025-07-09
gravitino,apache,Java,1685,528,120,this month,2025-07-09
ruoyi-vue-pro,YunaiV,Java,32137,6901,760,this month,2025-07-09
android,nextcloud,Java,4698,1838,73,this month,2025-07-09
syncthing-android,Catfriend1,Java,4231,135,363,this month,2025-07-09
Telegram-X,TGX-Android,Java,4341,713,117,this month,2025-07-09
arthas,alibaba,Java,36451,7565,147,this month,2025-07-09
BookLore,adityachandelgit,Java,2726,126,1751,this month,2025-07-09
fabric-example-mod,FabricMC,Java,1889,1046,44,this month,2025-07-09
maven,apache,Java,4676,2751,57,this month,2025-07-09
OpenSearch,opensearch-project,Java,11085,2287,206,this month,2025-07-09
oblivion,bepass-org,Java,4228,577,79,this month,2025-07-09
FreeRTOS-Kernel,FreeRTOS,C,3335,1294,6,today,2025-07-09
edk2,tianocore,C,5217,2787,6,today,2025-07-09
zephyr,zephyrproject-rtos,C,12432,7604,4,today,2025-07-09
civetweb,civetweb,C,3123,993,3,today,2025-07-09
MeshCore,ripplebiz,C,714,104,8,today,2025-07-09
OpenCorePkg,acidanthera,C,13999,2160,2,today,2025-07-09
u-boot,u-boot,C,4529,3988,4,today,2025-07-09
linux,raspberrypi,C,11834,5198,8,today,2025-07-09
curl,curl,C,38262,6764,9,today,2025-07-09
systemd,systemd,C,14355,4036,3,today,2025-07-09
linux,torvalds,C,197294,56872,100,today,2025-07-09
Flipper,UberGuidoZ,C,15527,3554,9,today,2025-07-09
wasm-micro-runtime,bytecodealliance,C,5434,704,6,today,2025-07-09
openwrt,openwrt,C,22977,11345,10,today,2025-07-09
mbedtls,Mbed-TLS,C,5991,2726,3,today,2025-07-09
sonic-buildimage,sonic-net,C,843,1583,0,today,2025-07-09
sqlcipher,sqlcipher,C,6697,1311,4,today,2025-07-09
raylib,raysan5,C,27135,2578,12,today,2025-07-09
librdkafka,confluentinc,C,690,3210,0,today,2025-07-09
Unity,ThrowTheSwitch,C,4592,1039,1,today,2025-07-09
openvpn,OpenVPN,C,12094,3127,58,this week,2025-07-09
lvgl,lvgl,C,20116,3702,85,this week,2025-07-09
openssl,openssl,C,27917,10653,224,this week,2025-07-09
php-src,php,C,39228,7908,41,this week,2025-07-09
immortalwrt,immortalwrt,C,8391,2482,63,this week,2025-07-09
nmap,nmap,C,11336,2571,38,this week,2025-07-09
obs-studio,obsproject,C,65461,8535,195,this week,2025-07-09
SDL,libsdl-org,C,12786,2242,90,this week,2025-07-09
littlefs,littlefs-project,C,5980,878,37,this week,2025-07-09
OpenCorePkg,acidanthera,C,13999,2160,32,this week,2025-07-09
rtl_433,merbanan,C,6690,1415,26,this week,2025-07-09
unleashed-firmware,DarkFlippers,C,19588,1621,53,this week,2025-07-09
redis,redis,C,69935,24116,121,this week,2025-07-09
winlator,brunodev85,C,13356,795,98,this week,2025-07-09
SketchyBar,FelixKratz,C,9267,131,97,this week,2025-07-09
libsql,tursodatabase,C,15143,407,148,this week,2025-07-09
esp-idf,espressif,C,15756,7751,69,this week,2025-07-09
tmux,tmux,C,38055,2220,141,this week,2025-07-09
nginx,nginx,C,27391,7415,85,this week,2025-07-09
MeshCore,ripplebiz,C,714,104,33,this week,2025-07-09
TOTEM,GEIGEIGEIST,C,1365,183,27,this week,2025-07-09
zapret,bol-van,C,11879,832,524,this month,2025-07-09
scrcpy,Genymobile,C,124858,11681,1664,this month,2025-07-09
esp-idf,espressif,C,15756,7751,363,this month,2025-07-09
rufus,pbatard,C,31984,2763,457,this month,2025-07-09
darktable,darktable-org,C,11066,1202,184,this month,2025-07-09
nginx,nginx,C,27391,7415,316,this month,2025-07-09
openwrt,openwrt,C,22977,11345,294,this month,2025-07-09
wazuh,wazuh,C,12862,1902,265,this month,2025-07-09
betaflight,betaflight,C,9648,3300,165,this month,2025-07-09
linux,torvalds,C,197294,56872,2253,this month,2025-07-09
pgvector,pgvector,C,16454,810,495,this month,2025-07-09
WindTerm,kingToolbox,C,27098,2096,570,this month,2025-07-09
ExplorerPatcher,valinet,C,27962,1151,447,this month,2025-07-09
ReZygisk,PerformanC,C,1604,159,309,this month,2025-07-09
open-gpu-kernel-modules,NVIDIA,C,15961,1430,116,this month,2025-07-09
timescaledb,timescale,C,19496,953,259,this month,2025-07-09
clay,nicbarker,C,14762,560,523,this month,2025-07-09
openvpn,OpenVPN,C,12094,3127,183,this month,2025-07-09
TDengine,taosdata,C,24082,4934,147,this month,2025-07-09
Telegram-iOS,TelegramMessenger,C,6874,1905,83,this month,2025-07-09
libimobiledevice,libimobiledevice,C,7151,1409,109,this month,2025-07-09
OpenCorePkg,acidanthera,C,13999,2160,108,this month,2025-07-09
MNN,alibaba,C++,12339,1984,19,today,2025-07-09
duckdb,duckdb,C++,30846,2427,35,today,2025-07-09
awesome-low-level-design,ashishps1,C++,15981,3932,50,today,2025-07-09
camoufox,daijro,C++,2605,213,21,today,2025-07-09
PX4-Autopilot,PX4,C++,9720,14176,14,today,2025-07-09
folly,facebook,C++,29547,5722,3,today,2025-07-09
KasmVNC,kasmtech,C++,4189,361,5,today,2025-07-09
deskflow,deskflow,C++,18805,4084,75,today,2025-07-09
envoy,envoyproxy,C++,26248,4995,9,today,2025-07-09
cutlass,NVIDIA,C++,7817,1305,6,today,2025-07-09
yaml-cpp,jbeder,C++,5543,1976,3,today,2025-07-09
openvino,openvinotoolkit,C++,8549,2645,7,today,2025-07-09
ORB_SLAM3,UZ-SLAMLab,C++,7448,2772,5,today,2025-07-09
magic_enum,Neargye,C++,5524,493,3,today,2025-07-09
Crow,CrowCpp,C++,4006,458,3,today,2025-07-09
Mooncake,kvcache-ai,C++,3528,298,9,today,2025-07-09
Catch2,catchorg,C++,19557,3120,4,today,2025-07-09
tensorflow,tensorflow,C++,190659,74747,26,today,2025-07-09
whisper.cpp,ggml-org,C++,41389,4431,31,today,2025-07-09
composable_kernel,ROCm,C++,434,208,0,today,2025-07-09
PlotJuggler,facontidavide,C++,5145,687,5,today,2025-07-09
re2,google,C++,9337,1164,1,today,2025-07-09
librealsense,IntelRealSense,C++,8029,4873,3,today,2025-07-09
ladybird,LadybirdBrowser,C++,45062,1919,1007,this week,2025-07-09
perfetto,google,C++,4323,511,149,this week,2025-07-09
carbon-lang,carbon-language,C++,33034,1500,86,this week,2025-07-09
